bank,practiced_empathy,practiced_empathy_score,culture,culture_score,technology,technology_score,employee_as_customer,employee_as_customer_score,rewards_and_benefits,rewards_and_benefits_score,aggregate_score
Maybank,"Flexible working hours: 
-	Extended Maternity Leave 
-	Child Care Leave - Parental Leave 
-	Parental Leave Policy for Child Adoption 
-	Enhanced Pilgrimage Leave 
Health & Lifestyle: - Nursing rooms for working mothers
- Enabling Work From Home (WFH) with Flexible Work Arrangements (FWA) and Mobile Work Arrangement (MWA) Policies
- Staying Safe and Acing the New Normal with Wellness & Well-being Programmes
-Ramped up all efforts to promote mental, physical, emotional and performance fitness in our policies and culture. Initiatives undertaken include:
  - Promoting the right precautionary efforts to flatten COVID-19 infection curve
  - Keeping employees engaged, motivated and fit:
  - Providing employee support assistance",2,"Group Inclusiveness and Diversity Agenda, aims to ensure increased representation of women in leadership positions across the Group
- Maybank’s women Mentor women (WMW) Council for supporting the professional development of women
Showing Care & Appreciation through Group EXCO-led Engagement:
Through Leaders Teaching Leaders (LTL), we organised the following virtual activities
as a means for Group EXCO to ensure continued engagement and boost employees’ well-being
Addressing Employees’ Changing Career Needs with GO Ahead. Take Charge! (GATC) Platform
Accelerating Diversity & Inclusion:ensuring rigorous monthly tracking of diversity
and gender representation through our Human Capital Dashboard to keep a fact-based pulse check and enable
crafting of data-based actions to address imbalances
",2,"The bank launched an internal gig platform- Crowdtivation- that crowdsources skills amongst employees, enabling them to learn, collaborate, experiment with innovative solutions and be part of internal gigs while maximising internal resources 
Building Capabilities and Developing Capacity for the New Normal and
Beyond through Learning & Development Programmes
FutureReady (FR)
Online analystics programme
AI Learning hub
Various programming courses like R programming, SQL, Python
",3,"
1.	Maybank continues to support employees through the “GO Ahead. Take Charge!” platform to empower employees to take charge of their career by reskilling, tailoring their working arrangements and embarking on entrepreneurial options. 
2.	Development and recognition: - The 'Transitioning Leaders to CEOs' programme for transforming high-potential middle managers to chief roles by enhancing their leadership skills - EXCO Mentoring Programme for mentorship
Elevating Customer Experience & Excellence through Universal Banker
",5,"
1. Financial Wellbeing:
- Monthly subsidised financial assistance for eligible employees with children 7 years old and below
- Back to School’ Sundry Loan Scheme for staffs whose children are entering preschool education, primary and secondary school, and tertiary and higher education


",2,14
RHB,"1. Annual Employee Engagement Survey and Internal Customer
Effectiveness Survey

2. RHB wellness programs and quit smoking campaigns ",1,"1. . Agile@Scale empowers employees with accountability
to introduce digitally enabled value propositions with a clear focus
on customer centricity and brings about a greater sense of ownership
and achievement amongst them.
2. RHB’s internal social media
channels – Workplace by Facebook
3. Roadshows, Townhall and dialogue sessions with the Group Managing Director and Senior Management
4. Social and sports activities
5. Annual Employee Satisfaction
Surveys (ESS)",3.5,1.  RHB Digital Academy- RHB Digital Academy is a key component under RHB's Digital Transformation and is established with the aim to expose and educate the participants to the knowledge and skillsets critical to support the transformation.,3,"1. Agile@Scale empowers employees with accountability to introduce digitally enabled value propositions with a clear focus on customer centricity and brings about a greater sense of ownership and achievement amongst them.

2. Leadership and Management 
-	Continue to offer Havard Manage Mentor (HMM) E-learning Programme with 41 Modules to all staff 
-	Completed 52 sessions of Maximising Employee Performance (MEP) Programme to enhance people management skills; a total of 1,064 line managers were trained in 2017
",5,"1.	RHB reward competitiveness and timeliness through a robust pay-for-performance policy that is benchmarked against the industry. 
-	Tailored compensation and benefits package to satisfy employees' needs. With pay practices that are benchmarked against the industry as well as benefits that are competitive, we believe we have the rewards system that is for you. 
",3,15.5
HLB,"1.	Flexible working hours: - paid annual leave and sick leave
2.	Communication platforms- official channels through which employees can voice their work related issues or grievances, which are then forwarded to the appropriate level of management to be resolved. In FY2019, a total of seven grievances were voiced and resolved.
",2,"1.	For International Women’s Day 2019, the Bank’s engagement champions and branches worked together to ensure that every female employee received a token of appreciation
2.	Employee engagement and communication- Introduced HLB Workplace and HLB Workchat to connect, communicate and collaborate with all HLB and HLISB employees

",2,"1.	Prepared employees for the future by incorporating design thinking in training modules. 
2.	Introduced Hackathons to discover talents and to inculcate an innovative mindset. 
3.	Introduced Workplace by Facebook to ensure effective communication between the workforce. 
4.	Adopted cloud-based Workday platform to streamline talent management, HR operational activities as well as learning and development 
5.	Used HALI, an AI chatbot and virtual recruitment assistant to match suitable candidates with high-skill jobs",5,"1.	Prepared employees for the future by incorporating design thinking in training modules.
2.	Fit for future workforce- foster a high-performance culture and aim to attract, develop and retain the next generation of leaders to ensure we are fit for the future. We provide relevant learning and development opportunities that ensures our people are highly trained and well-equipped to serve the community.
",3,"
1.	Financial Wellbeing: - 
-	Performance-linked variable pay in the form of bonuses
-	Payroll Account with high interest earnings
-	Preferential Fixed Deposit rates
-	Preferential rates for Personal Loan, Auto Loan and Mortgage
-  An Employee Assistance Programme, encompassing Staff Housing and Car Loans, a Staff Sundry Loan and a Staff Festival Advance
",4,16
AmBank,"	Health and lifestyle 
The bank’s aim is as follows:
-	Balanced and Healthy Lifestyle
-	Vibrant and Connected work environment
-	Skills and Personal Development
-	Recognition and Career Growth
",1,"Discussing and accepting diversity with your colleagues, highlighting the benefits of having a diverse and inclusive workplace
Identifying and addressing any unconscious bias in recruitment, retention and promotion that may be preventing particular groups of people from joining or staying at the company
Valuing individual skills such as language skills and international experience, that may help to broaden your market knowledge and business connections
Being aware of different cultural practices and special needs of employees and making workplace adjustments where appropriate",4,"eHR Emails, AmBerita Newsletters and Direct Employee Electronic Feedback to improve employee engagement ",1,"1. Learning & Development Programmes (e.g. Induction Trainings) 

2. Department Meetings, Senior Management Quarterly Engagements, Team Huddles, Senior Management Offsite and Department Offsite ",3,"1.	Financial wellbeing 
-	High interest rates on your Business Current Account
-	Preferential interest rates on your Business Fixed Deposit
-	Auto financing 
-	Home financing
-	Private Retirement Scheme


",3,12
Public Bank ,"Flexible working hours: 
-	attractive annual leave scheme 
-	extended maternity leave
-	sabbatical leave, examination leave etc.
-	flexibility to plan for their vacation, recreation or to attend to their family obligations. 
",2,"Public bank cares about its employees                                              - By promoting the well-being of its staff through attractive remuneration and fringe benefits
- By promoting good staff morale through proper staff training and development and provision of opportunities for career advancement",1,- ,0,"1.	Public Bank had continuously recorded the highest number of graduates for the banking qualifications offered by the Asian Institute of Chartered Bankers. 
2.	Career progression (we accord equal opportunities for career advancement based on merit. The velocity of advancement for employees is dependent on their level of performance, contribution and their readiness to hit the ground running) 
3.	To give the crucial ‘edge’ to our employees’ career development/performance, our purpose-built Knowledge & Learning Centre serves as the hub to deliver extensive training and development solutions & resources for employees to unlock their potential and propel them to broader and higher levels of excellence in the Bank.
",5,"
1.	Performance-based reward system (a comprehensive performance assessment system ensure performing employees are amply rewarded for their efforts and contributions)

2.	Financial Wellbeing:
o	Fair and competitive remuneration (the merit-based compensation policies are regularly bench-marked against industry trend to ensure employees are remunerated competitively and equitably)
o	Low interest/interest free staff housing loans/vehicle loans/special loans
o	attractive retirement schemes


3.	Health benefits: 
o	Insurance coverage
o	a comprehensive medical benefit scheme covers specialist treatment and hospitalisation for employees and their immediate family. ",5,13
Bank Mandiri ,"1.	Working hours- special hours for female employees who breastfeed, payment for overtime work
2.	Provision for paid annual leave 
3.	Maternity Leave, Miscarriage Leave, and Menstrual Pain Leave
4.	Permission to Carry Out Religious Worship
5.	Employee Engagement- ‘Mandiri daycare’ and lactation rooms
6.	Bank Mandiri also provides health facilities for employees and members of their families, including guarantees of inpatient care, outpatient care, childbirth, dental care, General Check Up, glasses and a retired Bank health program.
",2,"Diversity in board of directors 
The diversity of the composition of the Board of Directors is expected to provide alternative solutions to an increasingly complex problem faced by the bank compared to the members of the Board of Directors who are homogeneous in nature, so that the resulting decision is the best decision. 
Diversity and Equal Opportunities 
Bank Mandiri’s commitment to respecting diversity and equality to progress and develop without distinguishing ethnicity, religion, race and so on. 
Culture 
-	Trustworthy
-	Loyal 
-	Competent 
-	Harmonious 
-	Adaptive 
-	Collaborative 
",2,"Mandiri Talent Management System- TaMS is used by the Human Capital and Line Manager teams in conducting employee mobility, determining talent classification, succession management, and compensation management. 

Mandiri Click- It is an employee self-service portal that includes features which allow employees to have an understanding of their rights and obligations in accordance with Bank Mandiri’s internal policies. 

Mandiri Easy- It is a cloud-based system that is used to align targets and ensure that the achievement of all targets can be monitored properly                                           

Mandiri young leaders- MYLD is a support tool for Mandiri Young Leaders participants to keep up to date with the Mandiri Young Leaders Program information.                                         Technical development program- The bank carries out technical and digital capability development programs for its employees in business units such as- wholesale banking, retail banking, banking operations, governance & risk, digital banking & IT, compliance & finance as well as leadership and human capital.                                                   Technical development program- The bank carries out technical and digital capability development programs for its employees in business units such as- wholesale banking, retail banking, banking operations, governance & risk, digital banking & IT, compliance & finance as well as leadership and human capital.         ",5,"1.	Mandiri Scholarships- For those aiming for an MBA degree in the top 25 world class universities. First, you will be able to get a month preparation facilities from Mandiri to focus on your GMAT and prepare your application. Moreover, it is fully covered by Mandiri including the test expenses. Second, you will receive a full coverage scholarships for your tuition fee and living cost which covers you and your family during your study. Third, upon your graduation, you will be relocated to business units which fits your career plan and you will be mentored directly by appointed board of directors.
2.	Bank Mandiri has undertaken a range of employee development initiatives in 2020 to create highly qualified leaders 

• Officer Development Program (ODP)  A training program for fresh graduates recruited for managerial  positions at Bank Mandiri.  
• Staff Development Program (SDP)  A training program for Bank Mandiri employees to be promoted  for managerial positions at the Bank.  
• Program Pasca Sarjana (S2)  It became a formal education program for Bank Mandiri employees who met the required criteria. A selective training program for employees in the form of formal education in Master's Scholarship programs at overseas universities had been determined and carried out entirely at the expense of the Bank.  
• Mandiri Advanced Leaders Program (MALP) It was a leadership program for top talent at Level 3 with an emphasis on Managing People & Communications, Digital Transformation, Strategic Banking, Finance. 
• Mandiri Advanced Senior Leaders Program (MASLP) It was a leadership program for top talent at Level 2 with an emphasis on Managing People & Communications, Digital Transformation, Strategic Banking, Finance. 
• SESPIBANK Program A training program for candidates of Senior Executive or Top Management to be the top leaders of the bank. 
",4,"1.	Performance appraisal system- Encourages employees to improve performance in the next period 
2.	Awards 
Gives out awards such as 
•	Mandiri Best Employee
•	National Frontliner Championship

Financial Wellbeing 
3.	Remuneration policy
-	The bank provides salaries, annual salary adjustments, Holiday Allowances (THR), Annual Leave Implementation Money, and Large Leave Money given for each 3 (three) year period of work. 
-	In addition, the Bank provides variable compensation including Location Allowances, Specific Position Allowances, Appearance Allowances for frontliner employees, Overtime Compensation, Performance achievement Bonuses, Sales incentives, retention programs, and Long-Term Incentive programs in the form of shares.
-	To support the official service, Bank Mandiri provides official- facilities including official-housing, reimbursement of utilities, telephone expenses, and rental-official vehicles. While to support the needs of employees in home ownership, vehicles, and other needs, Bank Mandiri provides Employee Welfare Credit facilities
4.	Health and Wellbeing- Mandiri has established 25 social, sports and hobby interest groups called Mandiri Clubs. The aim of Mandiri Clubs is to supplement work with fun activities so all Mandirians become well rounded individuals, rich in both work and life/fun experiences.
5.	Community Development- Mandirians can participate in their nationally recognized community development programs such as Wirausaha Muda Mandiri, focuses on entrepreneurship and small business development and Mandiri bersama Mandiri, a program which enforce local economic community.
",3,16
BCA,"-	(WFH) program for pregnant women up to childbirth, and after childbirth during their maternity leave. 
-	BCA provides nursing rooms and facilities in the head office and some regional offices 
-	Development Work From Home (WFH) infrastructure to prevent the spread of COVID-19 
-	Application of work concept “Work From Anywhere” as a culture in the work process of BCA to be more flexible, while still upholding the principles of security, both in terms of network and data and experience, to be equal with the standard of Work from the Office.  
-	Employment Complaints Mechanism  BCA maintains open communication channels with its employees, including ‘Halo SDM’ that can be accessed through the internal telephone network, and the whistleblowing system (WBS) where employees can submit any complaints.  
-	COVID-19 crisis team- coordinate all health protocol for prevention, handling and control of COVID-19 transmission within the company. 
-	COVIV-19 Call centre- To ensure that employees always had the latest information 
",2.5,"-	One of the objectives of RCSA (risk control self assessment) implementation is to instill a risk culture and increase risk awareness which is the main requirement in risk management.  
-	Enabling High Performance and Productivity 
The BCA Way is a set of values that focuses on Customer Focus, Integrity, Team Work, and Continuous Pursuit of Excellence and contributes to the core character of the Bank and its employees. BCA Way values are regularly shared and explored through the Community of Practice (CoP) and are implement daily throughout the organisation. 
-	During the pandemic especially, the spirit of OneBCA proved invaluable in establishing safe procedures and creating a conducive, welfare-first work environment. 
-	BCA ensures that all employees receive equal treatment, both during performance appraisals and evaluations, as well as for promotions and remuneration. Performance appraisals are conducted for all employees regardless of gender, age, ethnicity, religion, race, or other discriminatory matters. 
",3,"-	In 2020 BCA conducted training that focused on low code programming, design thinking, UI / UX, data analytics, machine learning and updated work patterns. 
-	Digital buddy program- This program uses a reverse mentoring method with bottom up approach, as the Digital Buddies mostly are millennials, selected to assist non-digital savvy workers as they embrace digital technology and learn about various digital platforms and new work trends in the digital world. 
-	In line with the spirit of continuous improvement in operational efficiency, BCA will continue to improve HCM work processes with increased digitalisation and automation supported by existing technology within the BCA platform. 
-	To improve the quality and speed of the recruitment process, BCA leverages its technological capabilities, such as implementing robotic process automation (RPA) and application tracking system. During the pandemic, BCA implemented an online recruitment system, starting with the socialization of career opportunities through the job application process to the initial selection and interview stages. 
",3.5,"Career development and preparing future leaders- 
-	Scholarships for masters degrees 
-	Career development program 
-	Leadership development program
-	Matriculation Programme 
-	Branch Manager buddy program 

The bank provides training materials that are tailored to the employees’ needs and covers banking and soft skills related to leadership, personality, expertise and environmental preservation. Training is conducted through in-class training, e-learning, on the job training, coaching, and mentoring. 

As a form of employee development, every year BCA provides bachelor and master’s degree scholarships. BCA directors and management also became speakers in the online community of practice (COP) program, which was accessible to all BCA employees. Recordings were made available through the MyVideo portal so that all BCA employees could re-listen. 

",4,"1.	BCA promotes a healthy work–life balance through initiatives such as financial planning advice, healthy lifestyles, smart parenting and others, all conducted online in light of safe distancing protocols.                                                                    2.   Employee Performance Appraisal [404-3]
All employees (100%) undertake an evaluation and performance appraisal. Performance appraisals use the
Performance Appraisal and Performance Management form. The performance appraisal results are used to adjust
remunerations, bonuses, career path or promotions.",2,15
Danamon,"Throughout the pandemic, employee safety has been our key priority. A few key measures include: implementing work-from-home (WFH) protocols supported by stable and reliable IT infrastructures; launching the Danamon Care App which facilitating daily and weekly Employee Health Surveys; providing easy access to health care and COVID-19 tests; and providing essential personal care and additional support for all employees and their family members in need.                                Every LOB's Employee Engagement Champion has implemented programs to boost employee engagement, such as sharing sessions with internal and external speakers, coaching programs, and employee award programs. In addition, shared success activities are carried out in each LoB/Directorate with the goal of increasing Employee Engagement, inspiring, and empowering employees to provide better service. ",2.5,"Danamon is a company that emphasizes equal opportunity for each person by emphasizing professionalism. The Company also appreciates and respects any differences in viewpoints, knowledge, capacity and specific experiences of each individual, and does not discriminate between race, ethnicity, gender and religion      Face to face talking session for the employees with the bank's leadership              Risk Culture- Danamon upgrades their security technologies on a regular basis, performs vulnerability scans and penetration checks, and conducts security awareness campaigns for both employees and customers.    ",3.5,"Risk Culture- Danamon upgrades their security technologies on a regular basis, performs vulnerability scans and penetration checks, and conducts security awareness campaigns for both employees and customers.                                                Last year, they took steps to ensure that workers could operate safely from home using a Virtual Private Network (VPN).    Danamon would enforce network access control for employees who work from home to ensure that they can access the bank's security infrastructure. They will also use a tailored risk analytics approach based on the bank's risk criteria to comply with regulatory and internal requirements.                                Danamon intends to improve its employees' digital experience by implementing electronic employee benefit management, which allows employees to access their employee benefits such as health club membership and ticket purchases directly from their mobile phones.                              Danamon has also begun to build internal
capability in measuring employee engagement on a regular basis through digital technology                                     The bank has taken the big leap of digitally integrating all HR services on the cloud. Having the entire suite of HR resources on the cloud has helped Bank Danamon to dramatically simplify HRM and work for all employees, from recruiting to onboarding, learning and development to talent management, as well as everything relevant to HR management. Employees can get real-time access to business-critical information. Teams can work together from anywhere at any time.                          Danamon made the most of technology by digitizing and saving approximately 230 training modules in the Learning Management System (LMS). The bank conducted 508 training programs with 95,102 participants, totalling 34,133-man days, covering both technical and soft skills/leadership competencies. 
",4,"Human capital enhancement is an important pillar to Danamon’s long-term success. Investment initiatives in human capital will include boosting capacity in key areas such as IT and digital, developing new employee value propositions, foster job rotations and promotion from within, improve performance management process and enhance trainings to develop employees as innovative leaders. Danamon will also leverage MUFG’s global training programs in various areas and functions. In addition, Danamon Bankers Trainee (DBT) will continue to be developed as a key program to identify and develop future leaders. Danamon's staff continue to benefit from training and development programs. 

Training programs were conducted in all Danamon training centres and Danamon Corporate University, ensuring that all training activity was conducted online during the pandemic time. Parallel to enhancing the learning culture, an e-library is being developed so that employees can access lessons or acquire new information through a company-created library using digital media. 

Danamon made plans to introduce a development program in 2021, focusing on the areas of Leadership and Business Management Skills, Leading Transformation Change, Business Project Assignment, and Business Simulation, as part of its talent development strategy in 2020. 

The Danamon Bankers Trainee (DBT) program was held by the Human Capital Directorate. It is a learning program for Danamon's best and brightest graduate/postgraduate employees which the bank hires in order to prepare them to be future leaders. 

The bank also ran the Danamon Branch Network-Relationship Officer (DBNRO) program for the Branch Network Division and the Sales Leadership Academy to help front liners and sales teams at Branches improve their capabilities. Commercial Loans to Business and Upskilling Credit Skills for Business Relationship Officers and Relationship Managers were also introduced to develop the credit skills of the Sales team. ",4,"In order to foster a Corporate culture, Danamon applies a reward system based on contributions or known as SIPASTI. With the aim of giving appreciation to employees who contribute more, as well as conduct coaching to employees so that they can perform better. The appreciation given can be in the form of financial or non-financial, for example: employee development, career development, recognition of work results/ employee achievements.                                                    Interest and talent activities ",2,16
BNI,"work from home option, helpful leave policy     The Bank provides a variety of training and education in partnership with several finest national and worldwide campuses, to promote employee competence. They also provide a number of learning programs in through the BNI Corporate University or BNI CorpU, namely the Core Credit Skill program, Smart CA, Officer Development Program (ODP) and Leadership. 

BNI also offers training for employees who will be starting their preservice period. This program is designed to help employees who are approaching retirement age by providing information on health, finance, and psychology. 

BNI uses the Employee Engagement Survey to track employee engagement on a regular basis (EES). The results of this survey are used as input in the process of reviewing the human resource management system in order to develop policies that are aligned with the goals of the employees. 

The Human Capital (HCT) branch of BNI also has a system in place for employee grievances.",3.5,"BNI conducts employment activities with policies that guarantee that all employees will be treated equally without considering gender. Human resource management in BNI has been based on competence, so that BNI guarantees that all employees get equal opportunities in career development. Through BNI Corporate University, the Bank gives each employee the opportunity to learn and obtain applicable knowledge, as well as provide opportunities to grow through good performance and contribute significantly to the achievement of the Bank’s business performance. The overall competency development program conducted by BNI Corporate University is determined by the needs of the Bank and employees by taking into account gender equality and equality of opportunity to all levels of the organization                                                        BNI has implemented
the Core Values of AKHLAK (Trustworthy, Competent,
Harmonious, Loyal, Adaptive, and Collaborative) in the
daily activities in the organization. This was followed by
a number of activities such as the signing of the integrity
pact by all employees as a manifestation of the value of
Amanah, and a series of other programs to internalize
AKHLAK",3.5,"Daily Exercise Program 46 (DEEP46), employees’ competency
acquisition according to job description improved. The program was conducted by giving employees daily queries
to be completed online between 12 AM to 7 PM.                                                                        In order to support the smooth running of the learning
program, BNI Corporate University has facilitated the
learning infrastructure, namely:
•	 Learning Management System which is called BNI
Smarter as a personalized one stop learning solution,
which facilitates employee learning activities, starting
from identifying gaps and recording activities to fill
these gaps, as well as learning market places as
needed                                                                     Learning Program contains various business learning
programs, leadership and future capabilities, which
are manifested in various formats such as e-books,
podcasts, bite size videos, e-learning, learning games
and gamification.
•	 BNI has more than 300 experts with expertise in
various fields which can be accessed through the BNI
Expert Locator application to speed up the knowledge
transfer process.
•	 BNI Learning Wallet (BLW) is a form of learning
freedom through individual learning budgets
•	 LeVA is an artificial intelligent chatbot application that
can be accessed by voice and type commands",3,"The Bank provides a variety of training and education in partnership with several finest national and worldwide campuses, to promote employee competence. They also provide a number of learning programs in through the BNI Corporate University or BNI CorpU, namely the Core Credit Skill program, Smart CA, Officer Development Program (ODP) and Leadership. 

BNI also offers training for employees who will be starting their preservice period. This program is designed to help employees who are approaching retirement age by providing information on health, finance, and psychology.                                                            BNI uses the Employee Engagement Survey to track employee engagement on a regular basis (EES). The results of this survey are used as input in the process of reviewing the human resource management system in order to develop policies that are aligned with the goals of the employees. 

The Human Capital (HCT) branch of BNI also has a system in place for employee grievances. Employee complaints are handled using the following procedure: 

1. Employees file grievances with their immediate supervisor, who decides on a solution through deliberation.  

2. If a settlement cannot be achieved, the issue might be escalated to a higher rank. 

3. If the matter is not resolved, the employee can bring it to the attention of the Trade Union Managers, who will then discuss it with the Chairperson in stages.  

4. Employees, leaders, and trade unions seek a solution in order to avoid industrial problems. ",3.5,"Employee welfare initiatives are offered by the Bank in both material and non-material forms. Employee performance is intimately linked to the material program, which includes transportation allowances, meal allowances, pension money, holiday allowances, office money, bonuses, education money, medical expenditures, official clothing, leave money, and death money. Non-material programs, on the other hand, are employee welfare initiatives that provide facilities and services to all Bank workers without discrimination.                                  BNI takes care of its employees' health by providing a variety of facilities for both prevention and treatment. Employees are entitled to a medical check-up once a year, which can be scheduled as needed through the flexible benefit application. 

BNI offers a variety of insurance options, including BPJS, BPJS Employment, and other private insurance. BNI also offers a Retirement Health Fund Program (DKMP) to employees who are approaching retirement. 

BNI employees have access to a gym centre, which is equipped with a variety of workout equipment and a variety of classes taught by qualified instructors. ",4,17.5
BRI,"1. BRI had issued several policies and provided health facilities to ensure its employees and customers’ safety and health. The policies included health protocols, flexible work hours, and provision of healthcare facilities such as a safe house and vitamins for employees and customers.   2. BRI also regularly holds events and seminars to support employees’ work-life balance as well as improving employees’ health and well-being. The events often invite well-known speakers, such as industry practitioners, motivators, psychologists, and influencers.
3. BRI has a forum that provides employee counselling to help resolving employees’ personal problems affect their performance at work.
To support employees’ health and well-being, BRI requires all employees to take a block leave for 5 consecutive days every year.
4. BRI not only provides maternity leave to female employee according to the laws, but also paternity leave for male employees and with the duration that exceeds the minimum leave days set out by the law.
5. BRI also provides child day care facility at the office premises to provide mothers with young children a peace of mind while working.",4.5,"-	Culture activation program (Micro Excellence) to catch up with Credit Excellence, BRI X-Traordinary (Cross Selling & Sales culture), OSCAR (Outstanding & Case Leadership, BRI CARE, etc)  
-	Systematic Culture Development to drive culture values: 
5.	Culture Transformation Division  Establishment  
6.	Activation of Culture Club in  every Unit  
7.	BRIlliance (career aspiration)  
8.	BRILiaN Apps (New Way of  Working)  
9.	Productivity Tools  (performance)  
10.	BRIsmart (Learning)  
11.	BRILiaN Rookie Buddy (culture  system)  
12.	BRIstars (HC system)  
13.	Performance : performance vs  challenges  
Diversity Program
As a national pride state-owned enterprise with work units located throughout Indonesia, the demographics
of BRI employee are highly diverse. BRI believes that diversity is an added value that can help the Bank to stay as the best company. BRI employs workers from different backgrounds, religions, ethnicities, and races.",3.5," The BRISTARS integrated application that implemented operational efficiency, containing the following integrated  applications: 

e-Recruitment, a facility for prospective employees to join BRI via this online job application channel   

Digitalized assessment app, online employee competency assessment.   

e-Mutation, the automated processing of employee transfer between BRI work units.  

Automated employee database   

e-Leave, leave application submission and online approval process by supervisors.   

e-SPJ, paperless business trip application for trip documentation and approval of decision makers.   

e-Loan Facility for employees to apply for loan online.   

e-Health Insurance, online facility for employees to apply for the reimbursement of medical expenses.   

e-Overtime, a facility to issue overtime work orders online and automate overtime payments   ",3,"
1. BRILiaN Banking Officer Program (BBOP) 
Recruitment and education program to prepare new employees at the Corporate Title Assistant level to be able to deliver optimal performance according to the operational standards and values in BRI. 
2. BRILiaN Future Leader Program (BFLP) 
Educational programs to prepare employees from external sources at the Corporate Title Assistant level to be able to deliver optimal performance according to the operational standards and values in BRI. 

  3. BRILiaN Next Leader Program (BNLP) 
Educational programs to prepare employees from internal sources at the Corporate Title Assistant level to be able to deliver optimal performance according to the operational standards and values in BRI. 

  4. BRILiaN Leader Development Program (BLDP) - Educational programs to train employees to become Great Leaders through sustainable and comprehensive leadership development that emphasizes on character building, awareness of the nation, global insight, business/banking insight, and technology insight. 

5. BRILiaN Specialist Development Program (BSDP) - A sustainable and comprehensive technical competency development education program that focuses on the attainment of required competency, knowledge, and skills to become specialists in certain fields as needed by the Bank. 

 6. BRILiaN Global Development Program (BGLP) - A special development program to prepare Top Talents who are members of BRILiaN Society Member (BSM) Band 3 (Corporate Title at Assistant Vice President / Senior Manager level) and Band 4 (Corporate Title at Manager level) as prospective Global Leaders with competence and global business insight. 

7. BRILiaN Society Elite Program (BSEP) 
A special development program to prepare Top Talents in the BRILiaN Society Member (BSM) Band 2 (Corporate Title at the level of Vice President) and Band 1 (Corporate Title at the level of Executive Vice President / Senior Vice President) to assume more complex Leader roles. 

 8. BRILiaN Bright Scholarship Program (BBSP)- Education program for BRI Permanent Employees to pursue Masters’ Degree sponsored by the Bank. 

  

  

",5,"-	Fixed compensation, consisting of Basic Salary and Allowance.  
-	Variable compensation, given to employees based on performance achievements.  
-	Benefits, to provide a sense of security and convenience at work. The benefits are provided for employees during their tenure (e.g., health care programs) or after the termination of employment (e.g., pension programs). Benefits also include other facilities commonly provided by similar companies in the banking industry.  
-	Employee Stock Ownership Program, to improve employee engagement and sense of belonging to the Company, and to motivate/provide long- term incentives for the employees to achieve the Company’s performance targets. In 2020, BRI had two employee stock ownership programs, as follow: 
o	Employee Stock Allocation (ESA) Phase 2 A stock ownership program in the form of stock allocation. It was given to employees at all levels who met the Company’s criteria (est. 54,000 employees): tenure, individual performance, and employee’s track records in carrying out their responsibilities.  
o	Employee Stock Option Plan (ESOP) Phase 1 A stock ownership program in the form of share purchase option at a special price. It was given to employees of certain levels who were BRI’s Top Talents and met the Performance and Capacity/Potential criteria.  
BRI Excellence Awards- BRI Excellence Awards is a way for BRI to appreciate employees and work units that consistently provide show excellent performance in carrying out their core responsibilities and are also active in exercising duties outside their main job scope. 
",3,19
